OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20180716100803,Field Msr/Obs,Water,,7/16/2018,10:08:28,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20180716100803,,,,,,,,,STORET-785553635,,,Specific conductance,Total,610,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PDSS,11NPSWRD_WQX,NCRN Core Water data collection with YSI ProDSS,,,,,,,,,,,54:20.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_ANCR_20180830095002,Field Msr/Obs,Water,,8/30/2018,9:50:01,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_ANCR,Antietam Creek,Organization ActivityID=NCRN_ANTI_ANCR_20180830095002,,,,,,,,,STORET-785553654,,,Specific conductance,Total,581,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_COREWATER_PDSS,11NPSWRD_WQX,NCRN Core Water data collection with YSI ProDSS,,,,,,,,,,,54:20.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20050523103003,Field Msr/Obs,Water,,5/23/2005,10:30:00,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,DO Conc: 10.40 - 10.61; Water Temp: 13.1 - 13.2  Organization ActivityID=NCRN_ANTI_SHCK_20050523103003,,,,,,,,,STORET-785553679,,,Specific conductance,,0,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:21.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20050602010502,Field Msr/Obs,Water,,6/2/2005,1:05:00,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20050602010502,,,,,,,,,STORET-785553700,,,Specific conductance,,534,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:21.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20050630113503,Field Msr/Obs,Water,,6/30/2005,11:35:00,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,"pH: 8.09, 8.13, 8.14,8.17; Water Temp: 16.9, 16.8  Organization ActivityID=NCRN_ANTI_SHCK_20050630113503",,,,,,,,,STORET-785553723,,,Specific conductance,,502,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:21.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20051011111503,Field Msr/Obs,Water,,10/11/2005,11:15:00,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20051011111503,,,,,,,,,STORET-785553746,,,Specific conductance,,631,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:22.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20051117111303,Field Msr/Obs,Water,,11/17/2005,11:13:00,EST,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20051117111303,,,,,,,,,STORET-785553769,,,Specific conductance,,600,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:22.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20051214112003,Field Msr/Obs,Water,,12/14/2005,11:20:00,EST,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20051214112003,,,,,,,,,STORET-785553793,,,Specific conductance,,618,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:23.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20060126000003,Field Msr/Obs,Water,,1/26/2006,,,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20060126000003,,,,,,,,,STORET-785553817,,,Specific conductance,,585,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:23.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20060228111903,Field Msr/Obs,Water,,2/28/2006,11:19:00,EST,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20060228111903,,,,,,,,,STORET-785553847,,,Specific conductance,,551,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:24.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20060323120003,Field Msr/Obs,Water,,3/23/2006,12:00:00,EST,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20060323120003,,,,,,,,,STORET-785553877,,,Specific conductance,,531,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:25.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20060412114403,Field Msr/Obs,Water,,4/12/2006,11:44:00,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20060412114403,,,,,,,,,STORET-785553900,,,Specific conductance,,534,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:25.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20060518113002,Field Msr/Obs,Water,,5/18/2006,11:30:00,EDT,5/18/2006,11:42:00,EDT,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20060518113002,,,,,,,,,STORET-785553922,,,Specific conductance,,558,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:26.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20060518113003,Field Msr/Obs,Water,,5/18/2006,11:30:00,EDT,5/18/2006,11:42:00,EDT,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20060518113003,,,,,,,,,STORET-785553928,,,Specific conductance,,558,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:26.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20060628113002,Field Msr/Obs,Water,,6/28/2006,11:30:00,EDT,6/28/2006,11:38:00,EDT,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20060628113002,,,,,,,,,STORET-785553950,,,Specific conductance,,656,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:26.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20060726111002,Field Msr/Obs,Water,,7/26/2006,11:10:00,EDT,7/26/2006,11:25:00,EDT,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20060726111002,,,,,,,,,STORET-785553972,,,Specific conductance,,586,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:26.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20060814012502,Field Msr/Obs,Water,,8/14/2006,1:25:00,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20060814012502,,,,,,,,,STORET-785553993,,,Specific conductance,,570,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:26.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20061012115802,Field Msr/Obs,Water,,10/12/2006,11:58:00,EDT,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20061012115802,,,,,,,,,STORET-785554015,,,Specific conductance,,3391,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:27.0,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-NCRN_ANTI_SHCK_20061117000002,Field Msr/Obs,Water,,11/17/2006,,,,,,,,,,,,,,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring,,11NPSWRD_WQX-NCRN_ANTI_SHCK,Sharpsburg Creek,Organization ActivityID=NCRN_ANTI_SHCK_20061117000002,,,,,,,,,STORET-785554037,,,Specific conductance,,657,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,NCRN_MUPR,11NPSWRD_WQX,YSI 85,,,,,,,,,,,54:27.0,STORET
