Year,Month,Day,DOY,Flow_cms_obs,Flow_growing,Flow_nongrowing,Flow_NLCD16,Date
2005,6,7,158,4.7,0.7707,0.9186,0.4768,6/7/2005
2005,6,8,159,1.67,0.5523,0.6677,0.3569,6/8/2005
2005,6,9,160,1.31,0.4411,0.5224,0.2936,6/9/2005
2005,6,10,161,1.28,0.3655,0.4331,0.2463,6/10/2005
2005,6,11,162,1.22,0.3235,0.3819,0.2138,6/11/2005
2005,6,12,163,1.13,0.2428,0.347,0.1949,6/12/2005
2005,6,13,164,1.08,0.3314,0.5095,0.2686,6/13/2005
2005,6,14,165,1.28,0.3043,0.5132,0.2653,6/14/2005
2005,6,15,166,1.11,0.2162,0.4336,0.2269,6/15/2005
2005,6,16,167,0.99,0.1491,0.3677,0.1909,6/16/2005
2005,6,17,168,0.93,0.1095,0.3225,0.1678,6/17/2005
2005,6,18,169,0.88,0.08332,0.2896,0.1485,6/18/2005
2005,6,19,170,0.87,0.06384,0.2287,0.1252,6/19/2005
2005,6,20,171,0.87,0.05394,0.1869,0.1137,6/20/2005
2005,6,21,172,0.87,0.04492,0.155,0.09917,6/21/2005
2005,6,22,173,0.95,0.04186,0.1383,0.09155,6/22/2005
2005,6,23,174,1.25,0.03911,0.1239,0.08379,6/23/2005
2005,6,24,175,0.85,0.03529,0.1121,0.07428,6/24/2005
2005,6,25,176,0.8,0.02733,0.1003,0.0607,6/25/2005
2005,6,26,177,0.76,0.02046,0.09385,0.05284,6/26/2005
2005,6,27,178,0.77,0.01518,0.08596,0.04476,6/27/2005
2005,6,28,179,0.78,0.6976,0.8274,0.4073,6/28/2005
2005,6,29,180,2.18,2.093,2.257,1.515,6/29/2005
2005,6,30,181,5.18,2.14,2.205,1.086,6/30/2005
2005,7,1,182,1.23,1.377,1.465,0.6329,7/1/2005
2005,7,2,183,0.97,0.6927,0.8553,0.3763,7/2/2005
2005,7,3,184,0.83,0.3556,0.5487,0.2409,7/3/2005
2005,7,4,185,0.77,0.2015,0.3875,0.1678,7/4/2005
2005,7,5,186,1.48,5.763,6.755,3.237,7/5/2005
2005,7,6,187,9.15,4.128,4.592,2.306,7/6/2005
2005,7,7,188,2.13,11.11,12.31,7.969,7/7/2005
2005,7,8,189,33.98,23.65,24.93,21.26,7/8/2005
2005,7,9,190,3.4,11.87,12.58,9.776,7/9/2005
2005,7,10,191,1.6,5.411,5.769,4.575,7/10/2005
2005,7,11,192,1.2,2.601,2.863,2.407,7/11/2005
2005,7,12,193,1.06,2.027,2.479,1.971,7/12/2005
2005,7,13,194,1.06,2.352,2.951,1.838,7/13/2005
2005,7,14,195,1.15,1.849,2.207,2.044,7/14/2005
2005,7,15,196,10.76,5.931,6.449,4.894,7/15/2005
2005,7,16,197,8.18,4.463,4.942,3.542,7/16/2005
2005,7,17,198,3.65,2.592,2.972,2.219,7/17/2005
2005,7,18,199,1.53,2.033,2.148,1.929,7/18/2005
2005,7,19,200,1.24,1.027,1.92,1.108,7/19/2005
2005,7,20,201,1.1,0.6045,1.236,0.731,7/20/2005
2005,7,21,202,1.01,0.4223,0.9301,0.5465,7/21/2005
2005,7,22,203,0.95,0.3366,0.7509,0.4429,7/22/2005
2005,7,23,204,0.89,0.3045,0.6356,0.3839,7/23/2005
2005,7,24,205,0.82,0.2979,0.5557,0.3516,7/24/2005
2005,7,25,206,1.11,0.5511,0.8024,0.4726,7/25/2005
2005,7,26,207,0.87,0.4907,0.6884,0.4065,7/26/2005
2005,7,27,208,0.83,2.01,1.723,1.453,7/27/2005
2005,7,28,209,1.68,1.7,2.164,0.9973,7/28/2005
2005,7,29,210,1,1.256,1.487,0.6817,7/29/2005
2005,7,30,211,1.04,0.8112,1.027,0.4752,7/30/2005
2005,7,31,212,0.8,0.5685,0.7719,0.366,7/31/2005
2005,8,1,213,0.76,0.4439,0.6286,0.3027,8/1/2005
2005,8,2,214,0.72,0.3916,0.5405,0.2666,8/2/2005
2005,8,3,215,0.67,0.3647,0.4879,0.2456,8/3/2005
2005,8,4,216,0.63,0.351,0.4461,0.2267,8/4/2005
2005,8,5,217,0.6,0.3432,0.4206,0.208,8/5/2005
2005,8,6,218,0.61,0.343,0.403,0.2016,8/6/2005
2005,8,7,219,0.56,0.3425,0.3868,0.1913,8/7/2005
2005,8,8,220,1.77,2.167,2.327,1.543,8/8/2005
2005,8,9,221,6.26,2.189,2.158,1.221,8/9/2005
2005,8,10,222,1.87,2.138,1.818,0.8657,8/10/2005
2005,8,11,223,0.96,1.209,1.671,0.5647,8/11/2005
2005,8,12,224,0.72,0.7501,1.057,0.389,8/12/2005
2005,8,13,225,0.63,0.5353,0.7842,0.2928,8/13/2005
2005,8,14,226,0.58,0.4261,0.6363,0.24,8/14/2005
2005,8,15,227,0.54,0.3756,0.5401,0.2057,8/15/2005
2005,8,16,228,0.52,1.572,1.851,0.9343,8/16/2005
2005,8,17,229,1.13,1.213,1.546,0.6689,8/17/2005
2005,8,18,230,0.63,0.9233,1.061,0.4425,8/18/2005
2005,8,19,231,1.28,0.9647,1.114,0.4655,8/19/2005
2005,8,20,232,0.9,0.6995,0.8314,0.343,8/20/2005
2005,8,21,233,0.65,0.513,0.6221,0.2602,8/21/2005
2005,8,22,234,0.52,0.4051,0.4939,0.2027,8/22/2005
2005,8,23,235,0.46,0.347,0.4148,0.1677,8/23/2005
2005,8,24,236,0.44,0.3193,0.3748,0.1465,8/24/2005
2005,8,25,237,0.4,0.3014,0.3442,0.1283,8/25/2005
2005,8,26,238,0.39,0.2929,0.3219,0.1111,8/26/2005
2005,8,27,239,0.64,1.986,2.085,1.324,8/27/2005
2005,8,28,240,0.97,1.737,2.22,0.9977,8/28/2005
2005,8,29,241,0.58,1.883,1.632,0.602,8/29/2005
2005,8,30,242,0.48,0.9269,1.056,0.3679,8/30/2005
2005,8,31,243,0.46,0.4731,0.7473,0.241,8/31/2005
2005,9,1,244,0.42,0.2713,0.571,0.1671,9/1/2005
2005,9,2,245,0.37,0.1737,0.4321,0.1266,9/2/2005
2005,9,3,246,0.34,0.1272,0.3319,0.1026,9/3/2005
2005,9,4,247,0.3,0.1051,0.2712,0.08952,9/4/2005
2005,9,5,248,0.28,0.08856,0.2209,0.07672,9/5/2005
2005,9,6,249,0.49,0.07815,0.1894,0.06938,9/6/2005
2005,9,7,250,0.65,0.06255,0.1622,0.05913,9/7/2005
2005,9,8,251,0.34,0.05125,0.1438,0.05321,9/8/2005
2005,9,9,252,0.27,0.04604,0.1266,0.04716,9/9/2005
2005,9,10,253,0.26,0.04322,0.1139,0.0424,9/10/2005
2005,9,11,254,0.24,0.04017,0.1035,0.03926,9/11/2005
2005,9,12,255,0.22,0.03197,0.09675,0.03504,9/12/2005
2005,9,13,256,0.22,0.02835,0.09006,0.03084,9/13/2005
2005,9,14,257,0.23,0.02564,0.08391,0.03,9/14/2005
2005,9,15,258,0.28,0.02486,0.07841,0.02782,9/15/2005
2005,9,16,259,0.26,0.02645,0.07384,0.02706,9/16/2005
2005,9,17,260,0.22,0.02664,0.06992,0.0254,9/17/2005
2005,9,18,261,0.21,0.02806,0.06699,0.02312,9/18/2005
2005,9,19,262,0.19,0.02954,0.06477,0.02209,9/19/2005
2005,9,20,263,0.18,0.0302,0.06309,0.02085,9/20/2005
2005,9,21,264,0.17,0.02916,0.0604,0.01964,9/21/2005
2005,9,22,265,0.17,0.02388,0.05706,0.01645,9/22/2005
2005,9,23,266,0.17,0.02143,0.05414,0.01728,9/23/2005
2005,9,24,267,0.16,0.02048,0.05151,0.01617,9/24/2005
2005,9,25,268,0.17,0.01762,0.04919,0.01474,9/25/2005
2005,9,26,269,0.18,0.08633,0.09332,0.04821,9/26/2005
2005,9,27,270,0.28,0.08875,0.08286,0.04768,9/27/2005
2005,9,28,271,0.18,0.06957,0.07516,0.04031,9/28/2005
2005,9,29,272,0.16,0.05093,0.07063,0.03175,9/29/2005
2005,9,30,273,0.15,0.03857,0.06568,0.0264,9/30/2005
2005,10,1,274,0.15,0.02924,0.06093,0.02215,10/1/2005
2005,10,2,275,0.16,0.02234,0.05693,0.01901,10/2/2005
2005,10,3,276,0.15,0.01867,0.05344,0.01632,10/3/2005
2005,10,4,277,0.15,0.01577,0.05026,0.01501,10/4/2005
2005,10,5,278,0.16,0.01319,0.04738,0.01288,10/5/2005
2005,10,6,279,0.16,0.6964,0.7704,0.3508,10/6/2005
2005,10,7,280,5.89,25.21,28.46,20.21,10/7/2005
2005,10,8,281,51.54,46.06,48.24,40.91,10/8/2005
2005,10,9,282,5.69,20.57,21.38,16.11,10/9/2005
2005,10,10,283,1.97,8.509,8.756,6.872,10/10/2005
2005,10,11,284,1.6,3.97,4.098,3.484,10/11/2005
2005,10,12,285,1.33,2.158,2.271,2.152,10/12/2005
2005,10,13,286,1.04,1.672,2.172,1.888,10/13/2005
2005,10,14,287,1.46,0.7665,1.279,1.017,10/14/2005
2005,10,15,288,1.17,0.4308,0.8823,0.6762,10/15/2005
2005,10,16,289,0.86,0.2967,0.6698,0.5198,10/16/2005
2005,10,17,290,0.87,0.233,0.548,0.4314,10/17/2005
2005,10,18,291,0.78,0.2056,0.4614,0.3781,10/18/2005
2005,10,19,292,0.75,0.1914,0.4028,0.3342,10/19/2005
2005,10,20,293,0.74,0.1916,0.3619,0.2991,10/20/2005
2005,10,21,294,1.14,0.5561,0.7584,0.4878,10/21/2005
2005,10,22,295,3.26,2.483,2.684,1.81,10/22/2005
2005,10,23,296,2.13,2.044,2.013,2.035,10/23/2005
2005,10,24,297,1.09,3.024,3.084,1.742,10/24/2005
2005,10,25,298,14.02,6.04,6.316,5.053,10/25/2005
2005,10,26,299,4.62,3.905,4.142,3.22,10/26/2005
2005,10,27,300,1.97,2.336,2.489,2.157,10/27/2005
2005,10,28,301,1.19,1.96,1.893,1.845,10/28/2005
2005,10,29,302,1.01,1.109,1.835,0.9726,10/29/2005
2005,10,30,303,0.94,0.7556,1.29,0.6482,10/30/2005
2005,10,31,304,1.05,0.6097,1.042,0.5035,10/31/2005
2005,11,1,305,0.88,0.5518,0.8953,0.4249,11/1/2005
2005,11,2,306,0.85,0.5343,0.8056,0.3799,11/2/2005
2005,11,3,307,0.82,0.5356,0.7424,0.3486,11/3/2005
2005,11,4,308,0.82,0.5428,0.7017,0.3308,11/4/2005
2005,11,5,309,0.82,0.5551,0.6751,0.315,11/5/2005
2005,11,6,310,0.8,0.5722,0.6503,0.3006,11/6/2005
2005,11,7,311,0.77,0.5806,0.6407,0.2922,11/7/2005
2005,11,8,312,0.79,0.7295,0.7782,0.346,11/8/2005
2005,11,9,313,0.98,0.6996,0.7358,0.3191,11/9/2005
2005,11,10,314,0.84,0.6646,0.6834,0.2938,11/10/2005
2005,11,11,315,0.8,0.6428,0.6477,0.2751,11/11/2005
2005,11,12,316,0.8,0.634,0.6296,0.2626,11/12/2005
2005,11,13,317,0.82,0.6306,0.6218,0.2494,11/13/2005
2005,11,14,318,0.84,0.6331,0.6127,0.2499,11/14/2005
2005,11,15,319,0.86,0.6307,0.6051,0.2424,11/15/2005
2005,11,16,320,1.23,2.813,2.902,1.97,11/16/2005
2005,11,17,321,2.92,2.419,2.31,1.542,11/17/2005
2005,11,18,322,1.01,1.915,1.757,1.039,11/18/2005
2005,11,19,323,0.86,1.664,1.797,0.6777,11/19/2005
2005,11,20,324,0.85,1.122,1.275,0.4792,11/20/2005
2005,11,21,325,1.53,3.385,3.722,2.281,11/21/2005
2005,11,22,326,8.47,3.534,3.728,2.208,11/22/2005
2005,11,23,327,2.24,2.447,2.48,2.101,11/23/2005
2005,11,24,328,1.48,1.788,2.018,1.216,11/24/2005
2005,11,25,329,1.13,1.692,1.942,0.7797,11/25/2005
2005,11,26,330,1.03,1.018,1.346,0.5676,11/26/2005
2005,11,27,331,1.01,0.7925,1.093,0.47,11/27/2005
2005,11,28,332,1.19,0.6798,0.9307,0.4054,11/28/2005
2005,11,29,333,1.3,1.299,1.608,0.7395,11/29/2005
2005,11,30,334,2.21,1.051,1.283,0.6004,11/30/2005
2005,12,1,335,1.1,0.8201,0.9717,0.4889,12/1/2005
2005,12,2,336,0.98,0.6862,0.7853,0.421,12/2/2005
2005,12,3,337,0.92,0.6202,0.6808,0.3798,12/3/2005
2005,12,4,338,1.27,0.7683,0.831,0.4172,12/4/2005
2005,12,5,339,1.31,0.7017,0.7424,0.3865,12/5/2005
2005,12,6,340,1.3,0.6329,0.6514,0.3651,12/6/2005
2005,12,7,341,1.09,0.5875,0.5874,0.3407,12/7/2005
2005,12,8,342,0.98,0.5564,0.5484,0.3243,12/8/2005
2005,12,9,343,1.52,0.6225,0.599,0.3156,12/9/2005
2005,12,10,344,1.66,0.6165,0.5944,0.3039,12/10/2005
2005,12,11,345,1.25,1.277,1.305,0.3362,12/11/2005
2005,12,12,346,1.25,1.088,1.109,0.3233,12/12/2005
2005,12,13,347,1.11,0.825,0.8374,0.3072,12/13/2005
2005,12,14,348,0.99,0.6707,0.6648,0.296,12/14/2005
2005,12,15,349,1.18,0.5966,0.5804,0.2826,12/15/2005
2005,12,16,350,13.37,2.943,4.164,2.21,12/16/2005
2005,12,17,351,3.2,3.627,4.742,2.012,12/17/2005
2005,12,18,352,2.05,2.911,3.581,1.826,12/18/2005
2005,12,19,353,1.65,2.133,2.258,1.588,12/19/2005
2005,12,20,354,1.4,1.833,2.373,1.028,12/20/2005
2005,12,21,355,1.26,1.239,1.558,0.7524,12/21/2005
2005,12,22,356,1.22,0.9692,1.199,0.6248,12/22/2005
2005,12,23,357,1.39,0.8587,1.009,1.026,12/23/2005
2005,12,24,358,1.12,0.806,0.9031,1.098,12/24/2005
2005,12,25,359,3.4,0.931,0.9644,0.8991,12/25/2005
2005,12,26,360,3.71,1.916,1.982,0.9821,12/26/2005
2005,12,27,361,1.84,1.815,1.793,0.9119,12/27/2005
2005,12,28,362,1.46,1.337,1.405,0.9295,12/28/2005
2005,12,29,363,2.29,1.591,1.787,1.469,12/29/2005
2005,12,30,364,1.85,1.315,1.419,1.265,12/30/2005
2005,12,31,365,1.4,1.111,1.125,1.103,12/31/2005
2006,1,1,1,1.28,1.151,0.9628,1.03,1/1/2006
2006,1,2,2,1.33,1.499,1.602,1.419,1/2/2006
2006,1,3,3,2.82,1.484,1.574,1.416,1/3/2006
2006,1,4,4,1.7,1.266,1.229,1.275,1/4/2006
2006,1,5,5,1.45,1.118,1.007,1.203,1/5/2006
2006,1,6,6,1.33,1.19,0.8927,1.169,1/6/2006
2006,1,7,7,1.23,1.116,0.844,1.164,1/7/2006
2006,1,8,8,1.19,1.054,0.8153,1.167,1/8/2006
2006,1,9,9,1.18,1.022,0.8021,1.171,1/9/2006
2006,1,10,10,1.13,0.9944,0.79,1.173,1/10/2006
2006,1,11,11,1.42,1.39,1.458,1.39,1/11/2006
2006,1,12,12,2.01,1.242,1.243,1.269,1/12/2006
2006,1,13,13,1.36,1.113,1.024,1.213,1/13/2006
2006,1,14,14,2.94,2.012,1.998,1.946,1/14/2006
2006,1,15,15,1.78,1.949,1.54,1.676,1/15/2006
2006,1,16,16,1.27,1.465,1.28,1.45,1/16/2006
2006,1,17,17,1.21,1.195,1.097,1.331,1/17/2006
2006,1,18,18,6.65,2.461,2.257,2.389,1/18/2006
2006,1,19,19,2.78,2.285,1.889,2.238,1/19/2006
2006,1,20,20,1.83,1.984,1.779,2.068,1/20/2006
2006,1,21,21,1.56,1.897,1.901,2.128,1/21/2006
2006,1,22,22,1.37,1.393,1.538,1.637,1/22/2006
2006,1,23,23,6.77,2.568,2.524,2.567,1/23/2006
2006,1,24,24,2.72,2.363,2.08,2.361,1/24/2006
2006,1,25,25,1.97,2.012,2.337,2.036,1/25/2006
2006,1,26,26,1.56,1.966,1.716,1.928,1/26/2006
2006,1,27,27,1.39,1.338,1.434,2.134,1/27/2006
2006,1,28,28,1.39,1.137,1.258,1.658,1/28/2006
2006,1,29,29,1.44,1.085,1.158,1.539,1/29/2006
2006,1,30,30,1.42,1.058,1.081,1.494,1/30/2006
2006,1,31,31,1.58,1.21,1.025,1.481,1/31/2006
2006,2,1,32,1.4,1.168,0.9797,1.475,2/1/2006
2006,2,2,33,1.27,1.119,0.9495,1.461,2/2/2006
2006,2,3,34,3.28,2.24,2.059,2.254,2/3/2006
2006,2,4,35,5.47,6.493,6.541,6.78,2/4/2006
2006,2,5,36,6.99,4.621,4.481,4.629,2/5/2006
2006,2,6,37,2.58,2.978,2.786,3.2,2/6/2006
2006,2,7,38,1.95,2.104,2.107,2.45,2/7/2006
2006,2,8,39,1.51,1.763,2.232,2.056,2/8/2006
2006,2,9,40,1.43,1.822,1.701,2.041,2/9/2006
2006,2,10,41,1.42,1.34,1.471,1.869,2/10/2006
2006,2,11,42,1.53,1.252,1.371,1.778,2/11/2006
2006,2,12,43,2.31,1.217,1.275,1.725,2/12/2006
2006,2,13,44,2,1.187,1.194,2.151,2/13/2006
2006,2,14,45,1.76,1.597,1.603,1.803,2/14/2006
2006,2,15,46,2.11,2.532,2.4,1.955,2/15/2006
2006,2,16,47,3.51,2.343,1.994,1.791,2/16/2006
2006,2,17,48,3.17,1.942,2.291,1.927,2/17/2006
